acc10,arid1,evap,geo,im,plan,prof,rain,slope,tem,twi,greenup02,greenup03,greenup04,greenup05,greenup06,greenup07,greenup08,greenup09,greenup10,greenup11,midgreenup02,midgreenup03,midgreenup04,midgreenup05,midgreenup06,midgreenup07,midgreenup08,midgreenup09,midgreenup10,midgreenup11,maturity02,maturity03,maturity04,maturity05,maturity06,maturity07,maturity08,maturity09,maturity10,maturity11,peak02,peak03,peak04,peak05,peak06,peak07,peak08,peak09,peak10,peak11,sensence02,sensence03,sensence04,sensence05,sensence06,sensence07,sensence08,sensence09,sensence10,sensence11,midgreendown02,midgreendown03,midgreendown04,midgreendown05,midgreendown06,midgreendown07,midgreendown08,midgreendown09,midgreendown10,midgreendown11,dormancy02,dormancy03,dormancy04,dormancy05,dormancy06,dormancy07,dormancy08,dormancy09,dormancy10,dormancy11,evi_amplitude02,evi_amplitude03,evi_amplitude04,evi_amplitude05,evi_amplitude06,evi_amplitude07,evi_amplitude08,evi_amplitude09,evi_amplitude10,evi_amplitude11,evi_area02,evi_area03,evi_area04,evi_area05,evi_area06,evi_area07,evi_area08,evi_area09,evi_area10,evi_area11,evi_minimum02,evi_minimum03,evi_minimum04,evi_minimum05,evi_minimum06,evi_minimum07,evi_minimum08,evi_minimum09,evi_minimum10,evi_minimum11,numcycle02,numcycle03,numcycle04,numcycle05,numcycle06,numcycle07,numcycle08,numcycle09,numcycle10,numcycle11,evi0201,evi0301,evi0401,evi0501,evi0601,evi0701,evi0801,evi0901,evi1001,evi1101,evi0202,evi0302,evi0402,evi0502,evi0602,evi0702,evi0802,evi0902,evi1002,evi1102,evi0203,evi0303,evi0403,evi0503,evi0603,evi0703,evi0803,evi0903,evi1003,evi1103,evi0204,evi0304,evi0404,evi0504,evi0604,evi0704,evi0804,evi0904,evi1004,evi1104,evi0205,evi0305,evi0405,evi0505,evi0605,evi0705,evi0805,evi0905,evi1005,evi1105,evi0206,evi0306,evi0406,evi0506,evi0606,evi0706,evi0806,evi0906,evi1006,evi1106,evi0207,evi0307,evi0407,evi0507,evi0607,evi0707,evi0807,evi0907,evi1007,evi1107,soma,soc,lon,lat,FID
0.830324941,0.76882662,0.771310504,1,0.0631944,0.427921084,0.52887313,0.059329291,0.022538119,0.891341851,0.21201985,0.317525773,0.33814433,0.331958763,0.35257732,0.342268041,0.329896907,0.290721649,0.334020619,0.369072165,0.346391753,0.383505155,0.387628866,0.38556701,0.389690722,0.393814433,0.373195876,0.373195876,0.375257732,0.424742268,0.4,0.474226804,0.498969072,0.482474227,0.472164948,0.515463918,0.515463918,0.465979381,0.509278351,0.492783505,0.486597938,0.53814433,0.581443299,0.536082474,0.548453608,0.562886598,0.571134021,0.531958763,0.575257732,0.542268041,0.55257732,0.6,0.641237113,0.606185567,0.624742268,0.622680412,0.632989691,0.595876289,0.632989691,0.602061856,0.626804124,0.703092784,0.715463918,0.713402062,0.721649485,0.703092784,0.75257732,0.725773196,0.713402062,0.729896907,0.731958763,0.822680412,0.84742268,0.816494845,0.832989691,0.837113402,0.868041237,0.835051546,0.826804124,0.835051546,0.830927835,0.227051282,0.224615385,0.246666667,0.311153846,0.314102564,0.331666667,0.451153846,0.353076923,0.351410256,0.423076923,0.262958281,0.307206068,0.262958281,0.317319848,0.326169406,0.385587863,0.446270544,0.427307206,0.273072061,0.403286979,0.340157941,0.289265867,0.277859023,0.288095934,0.279613922,0.283416204,0.102661597,0.29687043,0.346007605,0.30330506,1.0,1,1,1,1,1,1.0,1,1,1.0,0.200932294,0.200932294,0.194239289,0.223132789,0.253319144,0.239896089,0.189481065,0.297306001,0.269548684,0.267770201,0.403621405,0.403621405,0.297975659,0.338468969,0.315490007,0.39432767,0.333061606,0.343907714,0.373662829,0.306307226,0.409783989,0.376277953,0.430853993,0.490977764,0.513687491,0.42112267,0.378410995,0.531420827,0.564474165,0.564474165,0.407303929,0.460140556,0.463880479,0.521916091,0.522311062,0.522706032,0.600762963,0.517871757,0.517871757,0.517871757,0.442145586,0.499839336,0.412581235,0.49130027,0.570019305,0.431898743,0.53648454,0.441403657,0.582792342,0.585113823,0.384895533,0.354930311,0.323306501,0.402312696,0.334647208,0.3585051,0.377208009,0.395910919,0.382576704,0.405988902,0.196586221,0.247922093,0.278572232,0.248100385,0.247500747,0.248228252,0.279648244,0.24166666,0.249931581,0.229529634,10.72,6.218097448,119.367996,31.1158,139
0.826993615,0.679509632,0.785161993,1,0.132425663,0.41726271,0.53160537,0.167944096,0.047773478,0.888320444,0.151177199,0.311340206,0.329896907,0.33814433,0.325773196,0.334020619,0.257731959,0.278350515,0.327835052,0.344329897,0.340206186,0.478350515,0.486597938,0.470103093,0.46185567,0.486597938,0.472164948,0.383505155,0.470103093,0.426804124,0.412371134,0.544329897,0.544329897,0.536082474,0.554639175,0.546391753,0.542268041,0.519587629,0.540206186,0.525773196,0.536082474,0.583505155,0.577319588,0.571134021,0.597938144,0.587628866,0.579381443,0.564948454,0.58556701,0.562886598,0.577319588,0.632989691,0.616494845,0.620618557,0.637113402,0.624742268,0.626804124,0.618556701,0.635051546,0.620618557,0.620618557,0.694845361,0.684536082,0.703092784,0.707216495,0.688659794,0.709278351,0.703092784,0.703092784,0.698969072,0.709278351,0.779381443,0.779381443,0.824742268,0.818556701,0.804123711,0.843298969,0.832989691,0.820618557,0.8,0.835051546,0.294230769,0.304230769,0.251410256,0.298333333,0.317820513,0.274102564,0.281538462,0.300641026,0.329358974,0.263461538,0.285714286,0.266750948,0.236409608,0.329962073,0.307206068,0.286978508,0.337547408,0.308470291,0.300884956,0.283185841,0.202690845,0.225504533,0.253875402,0.229599298,0.249195671,0.286048552,0.152383738,0.293653115,0.222579702,0.265867213,1.0,1,1,1,1,1,1.0,1,1,1.0,0.205516711,0.244434416,0.196484372,0.240578935,0.214163393,0.248578131,0.25223428,0.208476841,0.23009786,0.205062672,0.304564938,0.358584881,0.318947464,0.337179393,0.279628694,0.368028969,0.34758836,0.3913057,0.374881126,0.358456552,0.506673455,0.466167152,0.456680045,0.55969882,0.489878714,0.468869224,0.447859734,0.650046289,0.650046289,0.650046289,0.559171498,0.571298599,0.589597881,0.465930521,0.600661933,0.545198262,0.491654828,0.476529561,0.461404294,0.550327778,0.404778898,0.427452326,0.450125754,0.448671788,0.554873347,0.43735975,0.444359526,0.451359302,0.47621733,0.598623395,0.298004866,0.317173094,0.376959771,0.379765958,0.372433364,0.348787248,0.432049841,0.432049841,0.432049841,0.432049841,0.242236272,0.280271083,0.214755237,0.194227517,0.20801264,0.223486632,0.228950381,0.253142655,0.232359007,0.237806559,25.05,14.53016241,119.11,30.8955,140
0.819407539,0.69352014,0.799351815,1,0.120223492,0.41828979,0.546743459,0.146049583,0.034079166,0.876953362,0.138744334,0.313402062,0.340206186,0.33814433,0.346391753,0.340206186,0.325773196,0.317525773,0.327835052,0.362886598,0.344329897,0.373195876,0.383505155,0.375257732,0.389690722,0.393814433,0.375257732,0.377319588,0.373195876,0.406185567,0.387628866,0.509278351,0.488659794,0.490721649,0.492783505,0.501030928,0.455670103,0.472164948,0.496907216,0.490721649,0.451546392,0.562886598,0.540206186,0.540206186,0.554639175,0.564948454,0.529896907,0.529896907,0.560824742,0.544329897,0.521649485,0.610309278,0.583505155,0.595876289,0.606185567,0.610309278,0.645360825,0.595876289,0.635051546,0.6,0.602061856,0.709278351,0.694845361,0.717525773,0.709278351,0.729896907,0.750515464,0.740206186,0.734020619,0.715463918,0.717525773,0.812371134,0.797938144,0.826804124,0.820618557,0.822680412,0.828865979,0.830927835,0.835051546,0.808247423,0.816494845,0.337051282,0.385512821,0.345512821,0.436794872,0.350769231,0.351538462,0.41025641,0.366410256,0.370897436,0.357307692,0.390644753,0.362831858,0.340075853,0.418457649,0.376738306,0.351453856,0.391908976,0.420986094,0.319848293,0.309734513,0.279321439,0.292775665,0.247733255,0.256800234,0.333138345,0.286341035,0.206200643,0.32904358,0.3547821,0.365311495,1.0,1,1,1,1,1,1.0,1,1,1.0,0.208613724,0.201001801,0.193389878,0.216780722,0.257637322,0.227675289,0.217421472,0.225545272,0.236920625,0.298613787,0.417045116,0.417045116,0.394670993,0.412906766,0.356763721,0.393155187,0.394907624,0.357905537,0.467842817,0.467298403,0.504815698,0.552610815,0.421312302,0.518394127,0.51481092,0.424689621,0.45987916,0.540677488,0.528316855,0.498930573,0.491039991,0.517616093,0.560259104,0.602902114,0.531297743,0.55699563,0.582693517,0.524507821,0.544251755,0.563995689,0.586206913,0.586206913,0.551522911,0.518378198,0.473252192,0.538745977,0.604239762,0.407918751,0.634618044,0.489476264,0.409993112,0.36225456,0.366475582,0.407300025,0.423793674,0.363538265,0.452707708,0.435957819,0.364572942,0.474365383,0.234947115,0.242654666,0.247114643,0.250775643,0.279820267,0.308864892,0.284926474,0.318493634,0.352060795,0.277788818,20.38,11.82134571,119.129997,30.9283,141
0.772625496,0.54290718,0.428312109,1,0.259649348,0.473018679,0.543051242,0.282536058,0.092854801,0.812569568,0.250309816,0.301030928,0.336082474,0.336082474,0.334020619,0.33814433,0.327835052,0.292783505,0.334020619,0.340206186,0.350515464,0.397938144,0.397938144,0.387628866,0.391752577,0.428865979,0.381443299,0.377319588,0.38556701,0.410309278,0.393814433,0.542268041,0.521649485,0.465979381,0.550515464,0.52371134,0.482474227,0.46185567,0.441237113,0.482474227,0.432989691,0.587628866,0.569072165,0.513402062,0.604123711,0.573195876,0.562886598,0.567010309,0.484536082,0.540206186,0.46185567,0.632989691,0.630927835,0.569072165,0.653608247,0.622680412,0.620618557,0.626804124,0.534020619,0.595876289,0.507216495,0.709278351,0.721649485,0.690721649,0.725773196,0.701030928,0.727835052,0.719587629,0.628865979,0.709278351,0.682474227,0.797938144,0.822680412,0.828865979,0.816494845,0.824742268,0.835051546,0.828865979,0.808247423,0.816494845,0.783505155,0.266282051,0.241153846,0.254487179,0.316153846,0.238205128,0.263846154,0.271153846,0.290384615,0.291282051,0.198461538,0.347661188,0.283185841,0.226295828,0.428571429,0.261694058,0.331226296,0.371681416,0.204804046,0.271807838,0.118836915,0.295408014,0.307984791,0.334308277,0.338988008,0.393682363,0.428487862,0.305644925,0.452471483,0.429365311,0.553963147,1.0,1,1,1,1,1,1.0,1,1,1.0,0.257788599,0.279070616,0.229228079,0.230149567,0.281393945,0.232203737,0.297977537,0.25669688,0.28760618,0.279028773,0.325287133,0.38481763,0.311470002,0.350616395,0.411739528,0.3841919,0.356644273,0.345736831,0.406772465,0.417635441,0.363029033,0.512476623,0.385164618,0.449450701,0.549178541,0.5316329,0.509490043,0.594893277,0.53879869,0.500345588,0.539317608,0.443996757,0.388646275,0.465175092,0.615566969,0.59179312,0.511265561,0.520950079,0.49897933,0.485625923,0.408886403,0.563350201,0.388768047,0.766284823,0.374437332,0.610188544,0.493413627,0.445778072,0.398142517,0.489797443,0.405117273,0.289276734,0.476199061,0.391594112,0.41265884,0.364059955,0.315461069,0.225429922,0.390921056,0.379152626,0.177511275,0.219775766,0.240855649,0.231290102,0.238134526,0.244978949,0.308277622,0.312315218,0.316352814,0.208235294,15.96,9.257540603,119.402,30.731599,142
0.555421924,0.637478109,0.568831886,1,0.240768095,0.435210518,0.545635795,0.266044616,0.434182702,0.618374527,0.124452711,0.292783505,0.336082474,0.350515464,0.344329897,0.33814433,0.329896907,0.336082474,0.334020619,0.35257732,0.350515464,0.420618557,0.406185567,0.441237113,0.397938144,0.455670103,0.395876289,0.406185567,0.402061856,0.418556701,0.4,0.548453608,0.525773196,0.53814433,0.544329897,0.540206186,0.527835052,0.47628866,0.513402062,0.507216495,0.455670103,0.58556701,0.562886598,0.575257732,0.6,0.587628866,0.589690722,0.554639175,0.550515464,0.575257732,0.513402062,0.628865979,0.61443299,0.620618557,0.64742268,0.626804124,0.637113402,0.622680412,0.597938144,0.643298969,0.587628866,0.703092784,0.713402062,0.690721649,0.725773196,0.696907216,0.727835052,0.698969072,0.705154639,0.727835052,0.711340206,0.775257732,0.777319588,0.835051546,0.824742268,0.828865979,0.839175258,0.837113402,0.818556701,0.808247423,0.832989691,0.327564103,0.33,0.282564103,0.309358974,0.282692308,0.283717949,0.277948718,0.382692308,0.323333333,0.270897436,0.374209861,0.324905183,0.270543616,0.379266751,0.292035398,0.353982301,0.299620733,0.338811631,0.336283186,0.221238938,0.30242761,0.32904358,0.403334308,0.389295116,0.421175782,0.465340743,0.453348932,0.461538462,0.430242761,0.546358584,1.0,1,1,1,1,1,1.0,1,1,1.0,0.218343168,0.292784482,0.285663605,0.248964421,0.279600799,0.309942394,0.298762828,0.246243566,0.341811806,0.26902914,0.336937428,0.336937428,0.363579124,0.351014972,0.357582986,0.468024939,0.391740113,0.393792033,0.359492958,0.359492958,0.492522866,0.468754694,0.495674863,0.386347324,0.638128221,0.537859753,0.437591285,0.639526904,0.536599219,0.433671534,0.596765101,0.47587803,0.425337076,0.414075345,0.608392119,0.47998035,0.467686743,0.539344251,0.525582612,0.521475613,0.395208627,0.536510468,0.344702601,0.504328251,0.682486475,0.47299093,0.502766848,0.557882845,0.581207752,0.604532659,0.40257442,0.379879475,0.360390291,0.336405516,0.382477552,0.328673497,0.453463584,0.405119404,0.356775224,0.356775224,0.1441883,0.345529974,0.309846103,0.321808189,0.265498422,0.209188655,0.292995423,0.2547414,0.267605633,0.237801105,46.95,27.23317865,119.355003,30.757999,143
0.817308078,0.767075306,0.72249609,1,0.068011046,0.43630766,0.571850533,0.074137402,0.171927876,0.874009168,0.124287482,0.32371134,0.350515464,0.346391753,0.35257732,0.350515464,0.331958763,0.346391753,0.342268041,0.387628866,0.358762887,0.379381443,0.391752577,0.389690722,0.389690722,0.406185567,0.369072165,0.395876289,0.379381443,0.449484536,0.395876289,0.465979381,0.46185567,0.455670103,0.439175258,0.498969072,0.44742268,0.453608247,0.492783505,0.513402062,0.451546392,0.527835052,0.534020619,0.494845361,0.480412371,0.544329897,0.521649485,0.496907216,0.55257732,0.55257732,0.511340206,0.587628866,0.608247423,0.546391753,0.61443299,0.593814433,0.597938144,0.624742268,0.610309278,0.597938144,0.583505155,0.713402062,0.709278351,0.692783505,0.709278351,0.696907216,0.73814433,0.756701031,0.703092784,0.72371134,0.72371134,0.853608247,0.816494845,0.775257732,0.802061856,0.797938144,0.818556701,0.837113402,0.845360825,0.795876289,0.843298969,0.239871795,0.263974359,0.295512821,0.298333333,0.312820513,0.290769231,0.225897436,0.289871795,0.285,0.271410256,0.257901391,0.257901391,0.208596713,0.185840708,0.280657396,0.295828066,0.173198483,0.327433628,0.212389381,0.217446271,0.472652822,0.474700205,0.433167593,0.435507458,0.475870137,0.463878327,0.523252413,0.51564785,0.566539924,0.628546359,1.0,1,1,1,1,1,1.0,1,1,1.0,0.268007696,0.352838337,0.220233023,0.210305601,0.313405275,0.27924028,0.262036651,0.174871489,0.327392668,0.363844261,0.395822644,0.395822644,0.505476117,0.390324354,0.358846247,0.369611382,0.363066494,0.433403432,0.523517728,0.335982025,0.559528828,0.515032232,0.406236529,0.558718503,0.485274166,0.476931721,0.531273842,0.582518369,0.592794284,0.603070199,0.50355798,0.512049297,0.371802211,0.637522161,0.590938807,0.590938807,0.577975184,0.565011561,0.641957104,0.665495574,0.525094211,0.548520207,0.567895174,0.583844543,0.457862914,0.550620377,0.495740101,0.498825558,0.501911014,0.53869921,0.317912132,0.349251598,0.470313668,0.415532917,0.411861628,0.343182683,0.448657125,0.487541914,0.390484065,0.448913634,0.343271136,0.248228386,0.323780447,0.385403633,0.405698687,0.388901532,0.309741557,0.276411295,0.386662021,0.354841292,23.4,13.57308585,119.400001,31.134,186
0.848372074,0.6882662,0.764807841,1,0.125297027,0.439283061,0.538325205,0.155368067,0.03705227,0.918085954,0.441305263,0.311340206,0.309278351,0.331958763,0.32371134,0.340206186,0.311340206,0.296907216,0.336082474,0.340206186,0.348453608,0.435051546,0.387628866,0.391752577,0.41443299,0.453608247,0.391752577,0.383505155,0.393814433,0.406185567,0.406185567,0.540206186,0.531958763,0.525773196,0.527835052,0.542268041,0.507216495,0.515463918,0.515463918,0.517525773,0.507216495,0.577319588,0.569072165,0.562886598,0.573195876,0.583505155,0.560824742,0.583505155,0.564948454,0.571134021,0.556701031,0.622680412,0.622680412,0.608247423,0.618556701,0.626804124,0.612371134,0.639175258,0.624742268,0.628865979,0.610309278,0.707216495,0.709278351,0.703092784,0.698969072,0.707216495,0.709278351,0.73814433,0.715463918,0.707216495,0.694845361,0.820618557,0.791752577,0.822680412,0.81443299,0.832989691,0.830927835,0.84742268,0.822680412,0.806185567,0.797938144,0.248205128,0.287564103,0.252564103,0.35,0.290897436,0.293461538,0.33474359,0.331794872,0.314358974,0.316923077,0.284450063,0.332490518,0.275600506,0.359039191,0.293299621,0.333754741,0.426042984,0.350189633,0.337547408,0.307206068,0.275519158,0.216437555,0.263527347,0.208832992,0.283708687,0.269377011,0.163790582,0.288680901,0.313249488,0.363556595,1.0,1,1,1,1,1,1.0,1,1,1.0,0.225154698,0.246571891,0.225267068,0.233774513,0.227901086,0.20061177,0.234393448,0.262150288,0.262889624,0.2058319,0.35207054,0.35207054,0.347263575,0.29421261,0.380521148,0.420711368,0.36675185,0.372045577,0.413067967,0.330339968,0.432644844,0.443366908,0.454088971,0.420484483,0.518111646,0.509495199,0.500878751,0.494117334,0.504718172,0.51531901,0.46229738,0.456854761,0.5334481,0.567752779,0.51852268,0.515104696,0.475481778,0.494488776,0.534882486,0.535176098,0.42228657,0.427972138,0.444410801,0.517971933,0.522667944,0.543636084,0.308019251,0.511341587,0.578651309,0.557861507,0.297971427,0.340350598,0.396203667,0.365268394,0.334333122,0.391262323,0.30764249,0.396911621,0.389210314,0.381509006,0.1997457,0.240025893,0.225520581,0.286177099,0.195648074,0.21368213,0.217350706,0.250887483,0.284287184,0.289298505,26.73559,15.50788283,119.166887,30.920105,408
0.808711679,0.697022767,0.629244771,1,0.185087663,0.444314112,0.516319593,0.236675787,0.117171606,0.862393155,0.104337056,0.286597938,0.317525773,0.309278351,0.315463918,0.305154639,0.272164948,0.282474227,0.319587629,0.33814433,0.317525773,0.362886598,0.371134021,0.364948454,0.381443299,0.379381443,0.348453608,0.364948454,0.375257732,0.4,0.379381443,0.52371134,0.531958763,0.47628866,0.554639175,0.542268041,0.428865979,0.496907216,0.470103093,0.511340206,0.439175258,0.575257732,0.571134021,0.53814433,0.608247423,0.583505155,0.542268041,0.571134021,0.53814433,0.556701031,0.554639175,0.620618557,0.622680412,0.597938144,0.649484536,0.630927835,0.608247423,0.620618557,0.591752577,0.602061856,0.630927835,0.707216495,0.709278351,0.713402062,0.719587629,0.721649485,0.731958763,0.703092784,0.690721649,0.711340206,0.705154639,0.804123711,0.820618557,0.826804124,0.822680412,0.816494845,0.841237113,0.828865979,0.8,0.793814433,0.832989691,0.301410256,0.333333333,0.291153846,0.304871795,0.313846154,0.274615385,0.379230769,0.344358974,0.334230769,0.302179487,0.405815424,0.407079646,0.342604298,0.451327434,0.399494311,0.378002528,0.482932996,0.360303413,0.342604298,0.370417193,0.203275812,0.178122258,0.191284001,0.240128693,0.2260895,0.18748172,0.102661597,0.296577947,0.288388418,0.28955835,1.0,1,1,1,1,1,1.0,1,1,1.0,0.2360515,0.272991717,0.267044917,0.261098117,0.21024406,0.251611859,0.18459852,0.303424291,0.248929754,0.210109442,0.337899715,0.351774409,0.274717093,0.350910991,0.410548836,0.281152099,0.313861042,0.330678672,0.336769223,0.374232024,0.334898919,0.334898919,0.373235345,0.452771723,0.411433786,0.444182515,0.454393804,0.464605093,0.429104298,0.393603504,0.492537886,0.41447705,0.428777322,0.543722987,0.528508186,0.542022079,0.555535972,0.602565885,0.537178576,0.537178576,0.244945571,0.424952656,0.409017652,0.454358086,0.49969852,0.404447138,0.494489372,0.428269058,0.567504287,0.526569903,0.327100962,0.232398152,0.300822839,0.291340567,0.281858295,0.270931929,0.309891284,0.315458149,0.321025014,0.321025014,0.24884969,0.215478972,0.173632339,0.211853772,0.210351452,0.208849132,0.247330427,0.263758212,0.280185997,0.205324903,34.372011,19.93736137,119.363688,30.82211,409
0.581079636,0.586690018,0.397344749,1,0.289384111,0.42426146,0.448825871,0.296189007,0.348476875,0.661851072,0.113341597,0.307216495,0.340206186,0.342268041,0.342268041,0.329896907,0.331958763,0.265979381,0.331958763,0.348453608,0.342268041,0.395876289,0.406185567,0.391752577,0.391752577,0.395876289,0.383505155,0.387628866,0.391752577,0.410309278,0.391752577,0.507216495,0.515463918,0.482474227,0.465979381,0.496907216,0.480412371,0.472164948,0.470103093,0.496907216,0.443298969,0.571134021,0.558762887,0.556701031,0.571134021,0.556701031,0.569072165,0.536082474,0.534020619,0.562886598,0.486597938,0.618556701,0.606185567,0.639175258,0.641237113,0.616494845,0.657731959,0.608247423,0.58556701,0.620618557,0.612371134,0.711340206,0.705154639,0.711340206,0.715463918,0.701030928,0.746391753,0.727835052,0.698969072,0.707216495,0.703092784,0.812371134,0.824742268,0.787628866,0.820618557,0.81443299,0.901030928,0.816494845,0.816494845,0.797938144,0.808247423,0.353974359,0.376923077,0.312435897,0.357051282,0.355,0.284230769,0.436153846,0.385384615,0.360384615,0.290897436,0.409608091,0.352718078,0.337547408,0.412136536,0.374209861,0.359039191,0.436156764,0.359039191,0.352718078,0.19721871,0.1930389,0.237496344,0.280491372,0.31529687,0.320269085,0.39426733,0.158233402,0.382275519,0.369698742,0.456858731,1.0,1,1,1,1,1,1.0,1,1,1.0,0.173338026,0.198744342,0.220511541,0.197905764,0.19698444,0.180037469,0.208103582,0.217400074,0.315254629,0.331443697,0.296276271,0.309965938,0.304780632,0.317073166,0.320072591,0.286192656,0.32863152,0.44226861,0.415603995,0.449021667,0.517481983,0.517481983,0.529422283,0.52857703,0.586312413,0.499526966,0.587758899,0.541685522,0.472259462,0.526704311,0.561526537,0.427288711,0.528096378,0.534170032,0.551941484,0.569712937,0.448215187,0.549388945,0.650562704,0.650562704,0.54350549,0.54350549,0.500071257,0.456637025,0.60645479,0.522382796,0.418324441,0.463657752,0.508991063,0.503827751,0.351974338,0.347910523,0.280821621,0.350509912,0.384000957,0.315888911,0.315888911,0.315888911,0.351581663,0.387274414,0.200638011,0.197872251,0.230107479,0.321320623,0.239374042,0.15742746,0.292125136,0.169523299,0.333811224,0.267320067,21.799568,12.64476102,119.380778,30.70389,411
0.53041292,0.509632224,0.475249173,1,0.368505555,0.427116116,0.5573032,0.371458613,0.070748423,0.58359591,0.581123535,0.307216495,0.327835052,0.331958763,0.331958763,0.334020619,0.32371134,0.282474227,0.313402062,0.348453608,0.336082474,0.435051546,0.381443299,0.389690722,0.402061856,0.397938144,0.383505155,0.369072165,0.377319588,0.418556701,0.393814433,0.536082474,0.52371134,0.540206186,0.536082474,0.521649485,0.527835052,0.480412371,0.505154639,0.519587629,0.449484536,0.571134021,0.564948454,0.6,0.587628866,0.564948454,0.569072165,0.556701031,0.567010309,0.562886598,0.492783505,0.626804124,0.620618557,0.655670103,0.635051546,0.612371134,0.61443299,0.624742268,0.624742268,0.612371134,0.540206186,0.709278351,0.711340206,0.721649485,0.713402062,0.692783505,0.705154639,0.727835052,0.705154639,0.717525773,0.719587629,0.795876289,0.795876289,0.802061856,0.795876289,0.812371134,0.835051546,0.841237113,0.835051546,0.810309278,0.806185567,0.34,0.369615385,0.306666667,0.352564103,0.360897436,0.316923077,0.370128205,0.302948718,0.342692308,0.234487179,0.347661188,0.398230088,0.385587863,0.414664981,0.359039191,0.359039191,0.439949431,0.379266751,0.317319848,0.190897598,0.286341035,0.256507751,0.263234864,0.246270839,0.315589354,0.337233109,0.161450717,0.34103539,0.353612167,0.42644048,1.0,1,1,1,1,1,1.0,1,1,1.0,0.191864163,0.166019574,0.24933821,0.227873057,0.247766048,0.251876086,0.21871902,0.363605708,0.295873255,0.243926644,0.38879706,0.38879706,0.361802846,0.383409739,0.358846277,0.377416611,0.309991539,0.430608094,0.400735587,0.354439348,0.498000741,0.564540535,0.459608436,0.52435862,0.445365191,0.445365191,0.508578748,0.571792305,0.6769256,0.494155526,0.581249356,0.502070963,0.56828022,0.624284863,0.603091121,0.592483461,0.585730076,0.61367172,0.641613364,0.641613364,0.364734381,0.364734381,0.538938567,0.713142753,0.504275441,0.396964043,0.590034485,0.565919399,0.58932209,0.604607999,0.421033472,0.390056282,0.285868302,0.363290191,0.360883385,0.358449012,0.387255102,0.432396203,0.477537304,0.441815913,0.236226618,0.20941323,0.223116003,0.236818776,0.230189353,0.223559931,0.261494696,0.178920538,0.238076091,0.287792027,18.08356,10.48930394,119.230487,30.631178,412
